[0711/110735:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0711/115135:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0711/115618:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0711/131138:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0712/101059:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0712/101106:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0712/101114:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0712/110048:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0712/110217:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0712/111559:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0712/111648:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0712/112340:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0712/112346:ERROR:file_io.cc(30)] read: expected 4, observed 0
